controller,trajectory,rmse_3d,rmse_xy,max_err,warmup_excluded_s,wall_time_s
mpc_offsetfree_w3,slow,0.005590030364296172,0.004781487433534912,0.04291570796967874,1.0,67.4
mpc_offsetfree_w3,normal,0.056205139938509466,0.05574303176567018,0.3408583098300205,1.0,28.1
mpc_offsetfree_w3,fast,0.07242212882153902,0.07082015708578965,0.15852687535247273,1.0,27.9
mpc_offsetfree_w5,slow,0.005611895148064109,0.005302241272253808,0.05421436531870251,1.0,56.7
mpc_offsetfree_w5,normal,0.05640608352695406,0.0560865127284184,0.3914779882831897,1.0,25.7
mpc_offsetfree_w5,fast,0.06138838550743806,0.05984574130029464,0.1645782524507852,1.0,24.8
mpc_offsetfree,slow,0.006066536244121243,0.0059499858563346044,0.06290278849870289,1.0,55.7
mpc_offsetfree,normal,0.04310484721415959,0.042678112685632014,0.30370791596778846,1.0,26.6
mpc_offsetfree,fast,0.05261504043181787,0.05102282358323716,0.16560766290164639,1.0,27.3
