controller,trajectory,rmse_3d,rmse_xy,max_err,warmup_excluded_s,wall_time_s
mppi_l1,slow,0.049327707085258375,0.04390857205180232,0.1817944596532877,1.0,55.3
mppi_l1,normal,0.10534224706042748,0.09986419478827945,0.41988841491912066,1.0,20.9
mppi_l1,fast,0.48032538256299573,0.4623561174003239,1.223300585108937,1.0,7.2
mpc,slow,0.009108882005082012,0.008068008763642314,0.044280794575840915,1.0,61.2
mpc,normal,0.13414541145813186,0.09345083222753241,0.8213519972524833,1.0,33.3
mpc,fast,0.06848322416642848,0.058713424430051085,0.1538897183849576,1.0,27.4
