controller,trajectory,rmse_3d,rmse_xy,max_err,warmup_excluded_s,wall_time_s
mpc_offsetfree_w3,normal,0.13561848714064184,0.11209162530805242,0.8915588206515378,1.0,39.0
mpc_offsetfree_w3,fast,0.06956311702225554,0.06621952648243326,0.2973849945620123,1.0,32.3
mpc_offsetfree_w5,normal,0.15591307417231806,0.1294489610467047,0.9642885960104537,1.0,36.0
mpc_offsetfree_w5,fast,0.06570128881819247,0.06264077521646683,0.242426774778436,1.0,32.1
mpc_offsetfree,normal,0.19625649096055375,0.15775961923029092,0.9673806969121552,1.0,36.3
mpc_offsetfree,fast,0.05236584316276289,0.048962306950738804,0.13698277824634159,1.0,31.8
