controller,trajectory,rmse_3d,rmse_xy,max_err,warmup_excluded_s,wall_time_s
mppi_l1,slow,0.05284789129984794,0.04128186347081679,0.10844324059347978,1.0,36.2
mppi_l1,normal,0.06822766955261698,0.0612257465210765,0.13683782115909884,1.0,13.9
mppi_l1,fast,0.11419502740776957,0.10034587360952012,0.2414937740387423,1.0,9.6
mpc,slow,0.016159829427049993,0.010981499752327336,0.03627619013025518,1.0,71.3
mpc,normal,0.1382848413893644,0.09663849718049537,0.8571454187275475,1.0,38.4
mpc,fast,0.06716566857648824,0.06467601946007219,0.254404463757541,1.0,46.1
