controller,trajectory,rmse_3d,rmse_xy,max_err,warmup_excluded_s,wall_time_s
pid,normal,0.022620218179378794,0.0222233805024394,0.035750040877737574,1.0,2.5
adrc,normal,0.06579129585372248,0.06505307252531474,0.08571310626218907,1.0,1.2
mppi_l1,normal,0.04388027564805607,0.033826848431684785,0.08699519057077297,1.0,5.3
mpc,normal,0.054513714571374626,0.05420810542296362,0.11013067264164297,1.0,20.6
datt,normal,0.047455922966926724,0.04263633893164967,0.08434682603618571,1.0,1.4
