controller,trajectory,rmse_3d,rmse_xy,max_err,warmup_excluded_s,wall_time_s
mppi_l1,slow,0.051908278534745333,0.04517004324982795,0.17120426696865168,1.0,33.7
mppi_l1,normal,0.06468840952571157,0.060306312676484806,0.13751060473359603,1.0,13.2
mppi_l1,fast,0.09063337597534145,0.08329605922453771,0.1622743012275579,1.0,7.3
mpc,slow,0.016260115848250007,0.016150927926590574,0.05084534083171478,1.0,68.7
mpc,normal,0.09278560533840725,0.07044023815215207,0.6389197705186473,1.0,36.0
mpc,fast,0.06518276713497143,0.05429414160354555,0.1533885669418261,1.0,36.8
