controller,trajectory,rmse_3d,rmse_xy,max_err,warmup_excluded_s,wall_time_s
pid,normal,0.05380895252658503,0.04456057464909851,0.09309451549426191,1.0,2.7
pid,fast,0.15827422603360547,0.15410601874105187,0.2658116072949591,1.0,0.9
adrc,normal,0.06758952771486865,0.062156620581176415,0.13622518819828233,1.0,1.6
adrc,fast,0.19184433074826546,0.18632081706032402,0.44378613313134996,1.0,0.8
mpc_offsetfree,normal,0.10840982745724037,0.0918556950140544,0.7402142756643336,1.0,22.7
mpc_offsetfree,fast,0.06010387419667871,0.05006712924809143,0.10023105673093044,1.0,22.1
datt,normal,0.07970707514767862,0.06446144030893933,0.13578044194196628,1.0,1.7
datt,fast,0.1623508116354342,0.14978675744732134,0.3644918267067078,1.0,1.0
datt2,normal,0.08901004844207161,0.06564807422345645,0.1437442178828559,1.0,1.6
datt2,fast,0.1293560553664365,0.11444241591467101,0.244674813365623,1.0,1.0
