t_s,telemetry_age_s,airborne,phase,pos_x,pos_y,pos_z,ref_x,ref_y,ref_z,vel_x,vel_y,vel_z,qw,qx,qy,qz,gyro_x,gyro_y,gyro_z,roll_meas_deg,pitch_meas_deg,yaw_meas_deg,pos_err,obs_0,obs_1,obs_2,obs_3,obs_4,obs_5,obs_6,obs_7,obs_8,obs_9,obs_10,obs_11,obs_12,obs_13,obs_14,obs_15,obs_16,obs_17,obs_18,obs_19,obs_20,obs_21,obs_22,obs_23,obs_24,obs_25,obs_26,obs_27,obs_28,obs_29,obs_30,obs_31,obs_32,obs_33,obs_34,obs_35,obs_36,obs_37,obs_38,obs_39,obs_40,obs_41,obs_42,act_roll_rad,act_pitch_rad,act_yaw_rad,act_thrust_N,cmd_roll_deg,cmd_pitch_deg,cmd_yaw,cmd_pwm
0.0,0.0166,0,1,0.029408922418951988,0.298795223236084,-0.039015673100948334,0.027006689459085464,0.296571284532547,0.7626533508300781,0.016786446794867516,0.005288747139275074,0.002333040116354823,0.9912117123603821,-0.006863303482532501,-0.0008840613882057369,0.1320962756872177,-0.005481260419100893,0.007723388744554863,0.0055071419756478,-0.792972321199032,0.003474969150088974,15.181816470117774,0.8016756772994995,-0.0024022329598665237,-0.0022239387035369873,0.8016690015792847,0.016786446794867516,0.005288747139275074,0.002333040116354823,-0.006863303482532501,-0.0008840613882057369,0.1320962756872177,0.9912117123603821,-0.005481260363012552,0.0077233887277543545,0.005507141817361116,-0.0024022329598665237,-0.0022239387035369873,0.8016690015792847,-0.00856219232082367,0.07599297165870667,0.8016690015792847,-0.026882130652666092,0.15228328108787537,0.8016690015792847,-0.05691095441579819,0.22476845979690552,0.8016690015792847,-0.09790924936532974,0.29166364669799805,0.8016690015792847,-0.14886750280857086,0.3513217568397522,0.8016690015792847,-0.2085309475660324,0.4022737145423889,0.8016690015792847,-0.27543050050735474,0.443264901638031,0.8016690015792847,-0.347918838262558,0.47328609228134155,0.8016690015792847,-0.4242110848426819,0.4915980100631714,0.8016690015792847,1.0021146535873413,1.5707963705062866,0.6593993902206421,0.20000000298023224,15.0,15.0,0.09513918291607543,4000.0
0.0208,0.0165,0,1,0.024814821779727936,0.2947109639644623,-0.04514237865805626,0.02675124630331993,0.3125254213809967,0.7626533508300781,0.010602562688291073,-0.007319973781704903,-0.03740730881690979,0.9912156462669373,-0.006066631525754929,-0.0014286639634519815,0.1321011632680893,0.000626066390051133,0.00010819838829399598,-0.00028207446750204575,-0.710723434750276,-0.07044002113723254,15.18277376490549,0.8079944252967834,0.0019364245235919952,0.017814457416534424,0.8077957034111023,0.010602562688291073,-0.007319973781704903,-0.03740730881690979,-0.006066631525754929,-0.0014286639634519815,0.1321011632680893,0.9912156462669373,0.000626066408585757,0.00010819838644238189,-0.00028207447030581534,0.0019364245235919952,0.017814457416534424,0.8077957034111023,-0.006716163828969002,0.09579500555992126,0.8077957034111023,-0.027461066842079163,0.17146188020706177,0.8077957034111023,-0.05978747829794884,0.24295195937156677,0.8077957034111023,-0.10289940983057022,0.30850496888160706,0.8077957034111023,-0.1557353138923645,0.3665066659450531,0.8077957034111023,-0.21699416637420654,0.41552892327308655,0.8077957034111023,-0.2851676046848297,0.4543646275997162,0.8077957034111023,-0.3585769534111023,0.4820575416088104,0.8077957034111023,-0.4354146420955658,0.497925728559494,0.8077957034111023,0.7925161123275757,1.5707963705062866,0.6380192041397095,0.20000000298023224,15.0,15.0,0.09705377249151292,8000.0
0.0403,0.0171,0,1,0.02345031499862671,0.2971842885017395,-0.035002388060092926,0.026007547974586487,0.3281383216381073,0.7626533508300781,0.007448231335729361,0.004436306655406952,0.038560785353183746,0.9912097454071045,-0.006873329635709524,-0.0015560593456029892,0.13210465013980865,0.03383925873460469,-0.06493287744793254,0.014599532319598449,-0.8042849381038103,-0.07269488555797982,15.183333141796426,0.7982602715492249,0.002557232975959778,0.030954033136367798,0.7976557612419128,0.007448231335729361,0.004436306655406952,0.038560785353183746,-0.006873329635709524,-0.0015560593456029892,0.13210465013980865,0.9912097454071045,0.033839259296655655,-0.06493287533521652,0.014599531888961792,0.002557232975959778,0.030954033136367798,0.7976557612419128,-0.008528594858944416,0.10862600803375244,0.7976557612419128,-0.03162851184606552,0.18360748887062073,0.7976557612419128,-0.06617371737957001,0.25405222177505493,0.7976557612419128,-0.111313596367836,0.31822556257247925,0.7976557612419128,-0.1659366488456726,0.37454742193222046,0.7976557612419128,-0.22869789600372314,0.4216309189796448,0.7976557612419128,-0.2980519235134125,0.45831674337387085,0.7976557612419128,-0.3722909986972809,0.48370152711868286,0.7976557612419128,-0.4495871365070343,0.49716025590896606,0.7976557612419128,0.6289268732070923,1.5707963705062866,0.6472855806350708,0.20000000298023224,15.0,15.0,0.09817252627334767,12000.0
0.0602,0.016,0,1,0.023591872304677963,0.2971404492855072,-0.03424782305955887,0.024764975532889366,0.34383857250213623,0.7626533508300781,0.006313418038189411,0.003482794389128685,0.03841270133852959,0.9911884665489197,-0.006414513569325209,-0.0020578978583216667,0.1322801262140274,0.006648561895734103,0.001706411625941215,-0.003753972106926979,-0.7597906232612361,-0.13650754819845742,15.203981336840444,0.7982690930366516,0.001173103228211403,0.04669812321662903,0.7969011664390564,0.006313418038189411,0.003482794389128685,0.03841270133852959,-0.006414513569325209,-0.0020578978583216667,0.1322801262140274,0.9911884665489197,0.006648561917245388,0.0017064115963876247,-0.0037539720069617033,0.001173103228211403,0.04669812321662903,0.7969011664390564,-0.012353485450148582,0.12398239970207214,0.7969011664390564,-0.03780346363782883,0.19819915294647217,0.7969011664390564,-0.07455016672611237,0.267520934343338,0.7969011664390564,-0.12168878316879272,0.33024081587791443,0.7969011664390564,-0.17805859446525574,0.3848143517971039,0.7969011664390564,-0.2422715723514557,0.42989787459373474,0.7969011664390564,-0.3127466142177582,0.4643811881542206,0.7969011664390564,-0.3877483606338501,0.48741528391838074,0.7969011664390564,-0.46543002128601074,0.49843284487724304,0.7969011664390564,0.486721396446228,1.5707963705062866,0.6563016176223755,0.20000000298023224,15.0,15.0,0.1394689163613897,16000.0
0.0803,0.0156,0,1,0.02447568252682686,0.29422885179519653,-0.04412193223834038,0.023020470514893532,0.3595554530620575,0.7626533508300781,0.013572449795901775,-0.001367633929476142,-0.040961071848869324,0.991201639175415,-0.005885128863155842,-0.0014477933291345835,0.13221421837806702,0.051841289355375006,-0.10620693085138727,0.052532608523656744,-0.6904048888639898,-0.07528179529496076,15.195844334652223,0.8094170689582825,-0.0014552120119333267,0.06532660126686096,0.8067752718925476,0.013572449795901775,-0.001367633929476142,-0.040961071848869324,-0.005885128863155842,-0.0014477933291345835,0.13221421837806702,0.991201639175415,0.051841288805007935,-0.10620693117380142,0.052532609552145004,-0.0014552120119333267,0.06532660126686096,0.8067752718925476,-0.017418984323740005,0.14214450120925903,0.8067752718925476,-0.045203182846307755,0.21551930904388428,0.8067752718925476,-0.08412366360425949,0.2836443781852722,0.8067752718925476,-0.1332220882177353,0.34484225511550903,0.8067752718925476,-0.19128946959972382,0.3976059556007385,0.8067752718925476,-0.2568960189819336,0.4406362771987915,0.8067752718925476,-0.3284262716770172,0.4728737473487854,0.8067752718925476,-0.4041188955307007,0.49352455139160156,0.8067752718925476,-0.4821101427078247,0.5020800828933716,0.8067752718925476,0.3147929906845093,1.5707963705062866,0.640870213508606,0.20000000298023224,15.0,15.0,0.12319491198497344,20000.0
0.1007,0.0158,0,1,0.024533357471227646,0.2941572666168213,-0.044088564813137054,0.02080894261598587,0.3750263452529907,0.7626533508300781,0.014270192012190819,0.002092070644721389,-0.03398468345403671,0.9911461472511292,-0.005445652641355991,-0.0019152314634993672,0.1326422393321991,-0.027871062716872074,0.13815575092798302,-0.05222929112025353,-0.647627282178445,-0.13475415116576445,15.245610156424384,0.8107935190200806,-0.0037244148552417755,0.08086907863616943,0.8067418932914734,0.014270192012190819,0.002092070644721389,-0.03398468345403671,-0.005445652641355991,-0.0019152314634993672,0.1326422393321991,0.9911461472511292,-0.027871062979102135,0.1381557434797287,-0.05222929269075394,-0.0037244148552417755,0.08086907863616943,0.8067418932914734,-0.02208114229142666,0.157150536775589,0.8067418932914734,-0.052144914865493774,0.22962123155593872,0.8067418932914734,-0.09317547082901001,0.2964966297149658,0.8067418932914734,-0.14416249096393585,0.35613012313842773,0.8067418932914734,-0.20385050773620605,0.40705329179763794,0.8067418932914734,-0.27076980471611023,0.4480122923851013,0.8067418932914734,-0.3432725965976715,0.4779984951019287,0.8067418932914734,-0.41957366466522217,0.49627357721328735,0.8067418932914734,-0.49779418110847473,0.5023875832557678,0.8067418932914734,0.23736774921417236,1.5420902967453003,0.6739882230758667,0.20000000298023224,14.30008511124592,15.0,0.22272655552929538,24000.0
0.1201,0.0173,0,1,0.02551729418337345,0.292697936296463,-0.048390232026576996,0.018111802637577057,0.39043721556663513,0.7626533508300781,0.01629387028515339,0.0007392045226879418,-0.05163279548287392,0.9911569952964783,-0.005215140990912914,-0.000812494836281985,0.13258220255374908,0.05851170893769647,-0.055910645274097316,0.04254746052343293,-0.6046817718202695,-0.013049120935079907,15.237935269426778,0.8169451951980591,-0.007405491545796394,0.09773927927017212,0.8110435605049133,0.01629387028515339,0.0007392045226879418,-0.05163279548287392,-0.005215140990912914,-0.000812494836281985,0.13258220255374908,0.9911569952964783,0.05851170793175697,-0.05591064691543579,0.04254746064543724,-0.007405491545796394,0.09773927927017212,0.8110435605049133,-0.028139803558588028,0.17340907454490662,0.8110435605049133,-0.060456208884716034,0.24490371346473694,0.8110435605049133,-0.1035589650273323,0.31046268343925476,0.8110435605049133,-0.15638674795627594,0.36847177147865295,0.8110435605049133,-0.2176387459039688,0.41750261187553406,0.8110435605049133,-0.2858067452907562,0.45634785294532776,0.8110435605049133,-0.3592122197151184,0.48405107855796814,0.8110435605049133,-0.43604767322540283,0.4999299943447113,0.8110435605049133,-0.5144211649894714,0.5035938024520874,0.8110435605049133,0.03417468070983887,1.4958680868148804,0.6634913682937622,0.20000000298023224,8.129075041063418,15.0,0.2073767815340824,28000.0
0.1399,0.0159,0,1,0.026951486244797707,0.2951328158378601,-0.04241643846035004,0.014920072630047798,0.4058176577091217,0.7626533508300781,0.01762574166059494,0.005458607338368893,-0.028104420751333237,0.9911956787109375,-0.005155748687684536,-0.00031512469286099076,0.13229677081108093,-0.04067239121774619,0.09615413855947545,-0.02217049774393561,-0.590391569487747,0.04236893433716209,15.204639207849947,0.8127319812774658,-0.012031413614749908,0.1106848418712616,0.8050698041915894,0.01762574166059494,0.005458607338368893,-0.028104420751333237,-0.005155748687684536,-0.00031512469286099076,0.13229677081108093,0.9911956787109375,-0.04067239165306091,0.09615413844585419,-0.022170497104525566,-0.012031413614749908,0.1106848418712616,0.8050698041915894,-0.03513246029615402,0.18566596508026123,0.8050698041915894,-0.06967872381210327,0.25611019134521484,0.8050698041915894,-0.11481957137584686,0.32028287649154663,0.8050698041915894,-0.16944348812103271,0.376603901386261,0.8050698041915894,-0.23220543563365936,0.4236864447593689,0.8050698041915894,-0.30156001448631287,0.460371196269989,0.8050698041915894,-0.3757994771003723,0.48575490713119507,0.8050698041915894,-0.45309582352638245,0.49921244382858276,0.8050698041915894,-0.5315457582473755,0.5004124641418457,0.8050698041915894,-0.048148274421691895,1.3431893587112427,0.6983948945999146,0.20000000298023224,2.6851910629313887,15.0,0.14078465838040385,32000.0
0.1603,0.0168,0,1,0.028300954028964043,0.296223521232605,-0.04678177088499069,0.011213427409529686,0.4212198257446289,0.7626533508300781,0.01922065205872059,0.009030484594404697,-0.05032696947455406,0.9912128448486328,-0.005464472342282534,-0.00035200666752643883,0.13215582072734833,-0.002718494503509439,0.045519219566014305,-0.0011244785485054136,-0.6260234417318647,0.04277110821938806,15.188354534417375,0.8192077279090881,-0.017087526619434357,0.12499630451202393,0.8094351291656494,0.01922065205872059,0.009030484594404697,-0.05032696947455406,-0.005464472342282534,-0.00035200666752643883,0.13215582072734833,0.9912128448486328,-0.0027184945065528154,0.04551921784877777,-0.0011244785273447633,-0.017087526619434357,0.12499630451202393,0.8094351291656494,-0.042552366852760315,0.19920796155929565,0.8094351291656494,-0.07931295782327652,0.26852238178253174,0.8094351291656494,-0.1264641284942627,0.33123278617858887,0.8094351291656494,-0.1828448623418808,0.38579511642456055,0.8094351291656494,-0.24706687033176422,0.4308657646179199,0.8094351291656494,-0.31754881143569946,0.465334951877594,0.8094351291656494,-0.3925551474094391,0.488353967666626,0.8094351291656494,-0.4702390432357788,0.4993560314178467,0.8094351291656494,-0.5486875772476196,0.4980701804161072,0.8094351291656494,-0.1607668399810791,1.25021231174469,0.7066808938980103,0.20000000298023224,-3.263035176819753,15.0,0.1082153115152642,36000.0
0.1801,0.0158,0,1,0.030386455357074738,0.2996634542942047,-0.036124903708696365,0.007093164138495922,0.4362480938434601,0.7626533508300781,0.01801419071853161,0.014863709919154644,0.031188340857625008,0.9912061095237732,-0.005647751502692699,-4.2949963244609535e-05,0.13219918310642242,0.0242273777282907,0.034205193713138383,0.050396724201088774,-0.6421581045451364,0.08067888633991153,15.193163914579959,0.8107062578201294,-0.02329329028725624,0.13658463954925537,0.798778235912323,0.01801419071853161,0.014863709919154644,0.031188340857625008,-0.005647751502692699,-4.2949963244609535e-05,0.13219918310642242,0.9912061095237732,0.024227377027273178,0.03420519456267357,0.05039672553539276,-0.02329329028725624,0.13658463954925537,0.798778235912323,-0.051058344542980194,0.2099667489528656,0.798778235912323,-0.08996105194091797,0.27810195088386536,0.798778235912323,-0.13904350996017456,0.3393125832080841,0.798778235912323,-0.19709712266921997,0.39209142327308655,0.798778235912323,-0.2626924216747284,0.43513891100883484,0.798778235912323,-0.3342142403125763,0.46739503741264343,0.798778235912323,-0.40990149974823,0.48806557059288025,0.798778235912323,-0.48789048194885254,0.49664148688316345,0.798778235912323,-0.5662608742713928,0.4929116666316986,0.798778235912323,-0.33974385261535645,1.1183191537857056,0.7270878553390503,0.20000000298023224,-9.131517588409878,15.0,0.11783407184041286,40000.0
