controller,trajectory,rmse_3d,rmse_xy,max_err,warmup_excluded_s,wall_time_s
pid,normal,0.04350248995896579,0.04188862927027921,0.07193686006235316,1.0,2.7
pid,fast,0.1432699193950921,0.1401802487265237,0.25579059614603383,1.0,0.8
adrc,normal,0.058429913853406734,0.057409623094589864,0.1262872396809645,1.0,1.2
adrc,fast,0.19712698072820345,0.18578842128421616,0.4588362722950312,1.0,0.8
mpc_offsetfree,normal,0.19625649096055375,0.15775961923029092,0.9673806969121552,1.0,22.8
mpc_offsetfree,fast,0.05236584316276289,0.048962306950738804,0.13698277824634159,1.0,18.3
datt,normal,0.076849695057514,0.07009704699414529,0.23008031030314055,1.0,1.6
datt,fast,0.42235533201919545,0.4124870684691293,0.776910298241995,1.0,1.0
datt2,normal,0.06955095367562124,0.05495858213125006,0.13743845518226427,1.0,1.6
datt2,fast,0.12666733127419458,0.11871647561926238,0.27557628365245734,1.0,1.1
