controller,trajectory,rmse_3d,rmse_xy,max_err,warmup_excluded_s,wall_time_s
mpc,normal,0.1900248852022147,0.18820149658864047,0.21752853740159403,1.0,52.0
mpc_offsetfree,normal,0.04998640006033763,0.04605207092738775,0.10562296161379525,1.0,61.9
mpc_offsetfree_w3,normal,0.05034228596165782,0.04526128211744246,0.1468404958354362,1.0,54.2
