controller,trajectory,rmse_3d,rmse_xy,max_err,warmup_excluded_s,wall_time_s
pid,normal,0.058941668915710226,0.05287337586408179,0.10083673234477197,1.0,2.6
pid,fast,0.1598955663900444,0.15576853258931875,0.26069612292080974,1.0,0.9
adrc,normal,0.0684220511656478,0.06475680580937795,0.12504269774013696,1.0,1.4
adrc,fast,0.19419294676519663,0.1882360693485455,0.43989141705483137,1.0,1.0
mpc_offsetfree,normal,0.291903858194537,0.21797911677965864,1.455604710017636,1.0,23.4
mpc_offsetfree,fast,0.07008868609162279,0.06250742642394826,0.15033917456332024,1.0,22.6
datt,normal,0.08592617398740772,0.07384390556984383,0.2050656584491627,1.0,1.6
datt,fast,0.2600428148730037,0.24996327836670082,0.49689666760520157,1.0,1.0
datt2,normal,0.08333221257293333,0.062229859174469236,0.127848273556845,1.0,1.5
datt2,fast,0.1261407542170186,0.11309413653153234,0.2574621923382432,1.0,1.0
