controller,trajectory,rmse_3d,rmse_xy,max_err,warmup_excluded_s,wall_time_s
pid,normal,0.07165340855756598,0.07143024375511407,0.12486171617805523,1.0,2.6
pid,fast,0.16374917931924646,0.16130064097152175,0.2707906111367932,1.0,0.8
adrc,normal,0.07421296681550729,0.07372490881639944,0.14130470935188041,1.0,1.3
adrc,fast,0.18554460995272376,0.18072816918108392,0.3807264791373177,1.0,0.8
mpc_offsetfree,normal,0.15618742730146068,0.13127995821776894,0.9508221097547166,1.0,22.2
mpc_offsetfree,fast,0.07927046370459577,0.07268114740842495,0.19422325016491998,1.0,18.9
datt,normal,0.09738015646518446,0.09500764213464553,0.2432282797782326,1.0,1.6
datt,fast,0.3773154075410533,0.36816601260828413,0.8038132950932555,1.0,1.0
datt2,normal,0.0632975796989015,0.05604879860915296,0.1107583416959979,1.0,1.7
datt2,fast,0.12066354804477405,0.11601838954567001,0.34294229248574165,1.0,1.0
