controller,trajectory,rmse_3d,rmse_xy,max_err,warmup_excluded_s,wall_time_s
pid,normal,0.042189568485339585,0.04094351960512443,0.06731953969124899,1.0,2.7
pid,fast,0.1436808371123866,0.14134510278604928,0.22651543404670868,1.0,0.8
adrc,normal,0.05887905701959306,0.058132480914881636,0.11756169866723995,1.0,1.4
adrc,fast,0.18482170966105207,0.17597640692659544,0.402758468569679,1.0,0.9
mpc_offsetfree,normal,0.128877681707094,0.1075977194840924,0.8698029764241989,1.0,22.0
mpc_offsetfree,fast,0.08944029313440509,0.07367875320798972,0.2261027332646898,1.0,21.4
datt,normal,0.07197385935753228,0.06570365544450418,0.18999843063619715,1.0,-1.0
datt,fast,0.1553221431391938,0.14979891739679319,0.4047275643278058,1.0,0.9
datt2,normal,0.0715660568061566,0.058549589837266554,0.15933016334719777,1.0,1.6
datt2,fast,0.12692844835173867,0.11947358102377173,0.24372030739967335,1.0,1.0
