controller,trajectory,rmse_3d,rmse_xy,max_err,warmup_excluded_s,wall_time_s
mppi_l1,normal,0.033112936243240805,0.018838031506596978,0.14337755967443547,1.0,9.4
mppi_l1,fast,0.42332862172578006,0.09829518380949348,0.7016833893070659,1.0,3.0
mppi_l1,acro,0.3716704040592587,0.08442942725260787,0.6564825718002503,1.0,3.2
datt,normal,0.08415456680016443,0.032170806141984185,0.1378517529229023,1.0,1.2
datt,fast,0.16209964877370545,0.05656948662680576,0.2789429248004744,1.0,0.7
datt,acro,1.3237467337082351,1.2747100729895942,2.697816127567988,1.0,0.4
