controller,trajectory,rmse_3d,rmse_xy,max_err,warmup_excluded_s,wall_time_s
mpc_offsetfree,normal,0.047787870994070496,0.045799472242724355,0.18016292635811784,1.0,34.5
adrc,normal,0.05776574546594825,0.05686992944088439,0.13709525684391752,1.0,2.0
datt,normal,0.059361181400644426,0.05797527920144876,0.11912084990116686,1.0,2.4
