controller,trajectory,rmse_3d,rmse_xy,max_err,warmup_excluded_s,wall_time_s
pid,normal,0.048103392325836006,0.042516472084367186,0.08544533058399173,1.0,2.6
pid,fast,0.15448962560055282,0.15010701475439453,0.245162661746667,1.0,0.8
adrc,normal,0.0638477039741486,0.05862427763413049,0.12966896696953636,1.0,1.3
adrc,fast,0.18413688851879442,0.17720036873782566,0.40376838564361806,1.0,0.9
mpc_offsetfree,normal,0.31053055395875656,0.21858502548738773,1.5010623524308724,1.0,22.8
mpc_offsetfree,fast,0.07990542530281643,0.06900125822846982,0.17926951306091557,1.0,18.7
datt,normal,0.06763228518523347,0.06540584248637565,0.17389793850578983,1.0,1.6
datt,fast,0.279870755225863,0.2729795516460998,0.6735655355433983,1.0,1.0
datt2,normal,0.06224153330758416,0.0606804778061902,0.13158688938612959,1.0,1.6
datt2,fast,0.11632026764386344,0.11398265124813703,0.28350247369672316,1.0,1.0
