controller,trajectory,rmse_3d,rmse_xy,max_err,warmup_excluded_s,wall_time_s
pid,normal,0.06768021004039174,0.05145604087435442,0.10593094382728002,1.0,2.5
pid,fast,0.16087268771234034,0.15366250769504583,0.2944753337508617,1.0,0.8
adrc,normal,0.07851402682553628,0.06786488823813212,0.15738495320890447,1.0,1.3
adrc,fast,0.19781351239407385,0.18953105388618582,0.4714747058339876,1.0,0.8
mpc_offsetfree,normal,0.06647162923541887,0.04734135087139311,0.22714790307010158,1.0,21.5
mpc_offsetfree,fast,0.07628069277510417,0.06580167546590815,0.15427825628045175,1.0,21.7
datt,normal,0.09218713853190547,0.06987250770788307,0.18018595163894044,1.0,1.7
datt,fast,0.30592671901730545,0.2916504195880491,0.6911592287369794,1.0,0.9
datt2,normal,0.10230582656349689,0.07214690079870259,0.18236913657438833,1.0,1.5
datt2,fast,0.14403967553551195,0.12429992589025587,0.24832124318709947,1.0,1.0
