controller,trajectory,rmse_3d,rmse_xy,max_err,warmup_excluded_s,wall_time_s
pid,normal,0.05437015297013608,0.05363513513068157,0.10472027557988982,1.0,2.6
pid,fast,0.16191534879056346,0.15960922108782405,0.2616827637540468,1.0,0.9
adrc,normal,0.06942362090338845,0.06879559051387303,0.12306036842496748,1.0,1.3
adrc,fast,0.2067625540276364,0.2029073915907302,0.42895508706720437,1.0,0.9
mpc_offsetfree,normal,0.24239440467825457,0.18578815662627987,1.3239815978926637,1.0,23.6
mpc_offsetfree,fast,0.08182448573848655,0.0763674706659495,0.15653428751600487,1.0,19.9
datt,normal,0.08059923872386957,0.07487132624630728,0.2348461571847147,1.0,1.5
datt,fast,0.39310824290675417,0.3844910032216953,0.7973051555480942,1.0,0.9
datt2,normal,0.06591950435236238,0.05312006917697353,0.12980762590355352,1.0,1.9
datt2,fast,0.11967633391685097,0.11261249825251014,0.2955777734176609,1.0,1.0
