controller,trajectory,rmse_3d,rmse_xy,max_err,warmup_excluded_s,wall_time_s
pid,normal,0.04315875572826324,0.04233501003940656,0.07792609772660264,1.0,2.6
pid,fast,0.14609311916278525,0.14356439783026892,0.25318314959323995,1.0,0.9
adrc,normal,0.0556457008441361,0.05443660282151979,0.1253931838913135,1.0,1.4
adrc,fast,0.18121145493692983,0.173435619078368,0.42247694609354436,1.0,1.0
mpc_offsetfree,normal,0.14783423700647938,0.11917183442226478,0.9582406282799026,1.0,26.6
mpc_offsetfree,fast,0.08217518133876943,0.07013797266197941,0.1639512460963403,1.0,24.4
datt,normal,0.07276420612981095,0.07057037923940028,0.15117756702823748,1.0,1.7
datt,fast,0.3689805392629777,0.3617526406513,0.6006564197250233,1.0,1.1
datt2,normal,0.06340410895545387,0.0575788154048059,0.13932544674671266,1.0,1.6
datt2,fast,0.12414803286859631,0.12036000115836651,0.24130430024046967,1.0,0.9
