controller,trajectory,rmse_3d,rmse_xy,max_err,warmup_excluded_s,wall_time_s
mpc_offsetfree_w3,normal,0.09514322798662989,0.07910017473536879,0.7138325217198931,1.0,36.9
mpc_offsetfree_w3,fast,0.05748727118289394,0.04224136827417232,0.15108040834973974,1.0,35.9
mpc_offsetfree_w5,normal,0.11925115190199187,0.10116421621198435,0.8330839416105036,1.0,36.6
mpc_offsetfree_w5,fast,0.10084188530955872,0.07719710325559083,0.31910435537098036,1.0,32.5
mpc_offsetfree,normal,0.1290131513452055,0.10478506722245806,0.8558489384438129,1.0,32.9
mpc_offsetfree,fast,0.13854664599922584,0.10594799737566207,0.43591620133180176,1.0,31.8
