controller,trajectory,rmse_3d,rmse_xy,max_err,warmup_excluded_s,wall_time_s
mpc_offsetfree_w3,normal,0.13235597012712658,0.10471985114373915,0.8789761330014049,1.0,31.6
mpc_offsetfree_w3,fast,0.061634855343947054,0.04683602468277085,0.16937589573834536,1.0,27.4
mpc_offsetfree_w5,normal,0.1461094334586326,0.12000603944071142,0.9561766740234674,1.0,36.3
mpc_offsetfree_w5,fast,0.08746403130462252,0.067986831818043,0.20736046772522096,1.0,27.6
mpc_offsetfree,normal,0.14783423700647938,0.11917183442226478,0.9582406282799026,1.0,231.7
mpc_offsetfree,fast,0.08217518133876943,0.07013797266197941,0.1639512460963403,1.0,59.2
